Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 14:00:00,08/06/16 15:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 14:00:00,08/06/16 15:00:00,836
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 14:00:00,08/06/16 15:00:00,1
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 14:00:00,08/06/16 15:00:00,836
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 14:00:00,08/06/16 15:00:00,228
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 14:00:00,08/06/16 15:00:00,107374182400
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 14:00:00,08/06/16 15:00:00,5351981
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 15:00:00,08/06/16 16:00:00,2053
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 15:00:00,08/06/16 16:00:00,684
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 15:00:00,08/06/16 16:00:00,1
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 15:00:00,08/06/16 16:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 15:00:00,08/06/16 16:00:00,228
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 15:00:00,08/06/16 16:00:00,228
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 15:00:00,08/06/16 16:00:00,457288
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 15:00:00,08/06/16 16:00:00,5282719
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 15:00:00,08/06/16 16:00:00,760
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 16:00:00,08/06/16 17:00:00,455264
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 16:00:00,08/06/16 17:00:00,107374182400
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 16:00:00,08/06/16 17:00:00,1
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 16:00:00,08/06/16 17:00:00,304
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 16:00:00,08/06/16 17:00:00,304
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 16:00:00,08/06/16 17:00:00,684
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 16:00:00,08/06/16 17:00:00,684
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 16:00:00,08/06/16 17:00:00,5282660
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 16:00:00,08/06/16 17:00:00,2039
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 17:00:00,08/06/16 18:00:00,457535
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 17:00:00,08/06/16 18:00:00,5275868
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 17:00:00,08/06/16 18:00:00,1
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 17:00:00,08/06/16 18:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 17:00:00,08/06/16 18:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 17:00:00,08/06/16 18:00:00,760
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 17:00:00,08/06/16 18:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 17:00:00,08/06/16 18:00:00,836
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 17:00:00,08/06/16 18:00:00,2043
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 18:00:00,08/06/16 19:00:00,5187392
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 18:00:00,08/06/16 19:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 18:00:00,08/06/16 19:00:00,304
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 18:00:00,08/06/16 19:00:00,304
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 18:00:00,08/06/16 19:00:00,446729
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 18:00:00,08/06/16 19:00:00,1
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 18:00:00,08/06/16 19:00:00,760
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 18:00:00,08/06/16 19:00:00,2047
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 18:00:00,08/06/16 19:00:00,760
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 19:00:00,08/06/16 20:00:00,836
