sep=;
Time;Usage;Limit;Request
2016-12-08T15:02:20.000Z;null;null;null
2016-12-08T15:02:30.000Z;null;null;null
2016-12-08T15:02:40.000Z;null;null;null
2016-12-08T15:02:50.000Z;null;null;null
2016-12-08T15:03:00.000Z;124;248;668
2016-12-08T15:03:10.000Z;null;null;null
2016-12-08T15:03:20.000Z;null;null;null
2016-12-08T15:03:30.000Z;null;null;null
2016-12-08T15:03:40.000Z;null;null;null
2016-12-08T15:03:50.000Z;null;null;null
2016-12-08T15:04:00.000Z;124;248;668
2016-12-08T15:04:10.000Z;null;null;null
2016-12-08T15:04:20.000Z;null;null;null
2016-12-08T15:04:30.000Z;null;null;null
2016-12-08T15:04:40.000Z;null;null;null
2016-12-08T15:04:50.000Z;null;null;null
2016-12-08T15:05:00.000Z;125;248;668
2016-12-08T15:05:10.000Z;null;null;null
2016-12-08T15:05:20.000Z;null;null;null
2016-12-08T15:05:30.000Z;null;null;null
2016-12-08T15:05:40.000Z;null;null;null
2016-12-08T15:05:50.000Z;null;null;null
2016-12-08T15:06:00.000Z;128;248;668
2016-12-08T15:06:10.000Z;null;null;null
2016-12-08T15:06:20.000Z;null;null;null
2016-12-08T15:06:30.000Z;null;null;null
2016-12-08T15:06:40.000Z;null;null;null
2016-12-08T15:06:50.000Z;null;null;null
2016-12-08T15:07:00.000Z;129;248;668
2016-12-08T15:07:10.000Z;null;null;null
2016-12-08T15:07:20.000Z;null;null;null
2016-12-08T15:07:30.000Z;null;null;null
2016-12-08T15:07:40.000Z;null;null;null
2016-12-08T15:07:50.000Z;null;null;null
2016-12-08T15:08:00.000Z;129;248;668
2016-12-08T15:08:10.000Z;null;null;null
2016-12-08T15:08:20.000Z;null;null;null
2016-12-08T15:08:30.000Z;null;null;null
2016-12-08T15:08:40.000Z;null;null;null
2016-12-08T15:08:50.000Z;null;null;null
2016-12-08T15:09:00.000Z;127;248;668
2016-12-08T15:09:10.000Z;null;null;null
2016-12-08T15:09:20.000Z;null;null;null
2016-12-08T15:09:30.000Z;null;null;null
2016-12-08T15:09:40.000Z;null;null;null
2016-12-08T15:09:50.000Z;null;null;null
2016-12-08T15:10:00.000Z;136;248;1068
2016-12-08T15:10:10.000Z;null;null;null
2016-12-08T15:10:20.000Z;null;null;null
2016-12-08T15:10:30.000Z;null;null;null
2016-12-08T15:10:40.000Z;null;null;null
2016-12-08T15:10:50.000Z;null;null;null
2016-12-08T15:11:00.000Z;253;248;1068
2016-12-08T15:11:10.000Z;null;null;null
2016-12-08T15:11:20.000Z;null;null;null
2016-12-08T15:11:30.000Z;null;null;null
