sep=;
Time;Tx;Rx
2016-12-08T14:56:10.000Z;null;null
2016-12-08T14:56:20.000Z;null;null
2016-12-08T14:56:30.000Z;null;null
2016-12-08T14:56:40.000Z;null;null
2016-12-08T14:56:50.000Z;null;null
2016-12-08T14:57:00.000Z;105136.17126464844;100818.611328125
2016-12-08T14:57:10.000Z;null;null
2016-12-08T14:57:20.000Z;null;null
2016-12-08T14:57:30.000Z;null;null
2016-12-08T14:57:40.000Z;null;null
2016-12-08T14:57:50.000Z;null;null
2016-12-08T14:58:00.000Z;74099.9150390625;28884.541381835938
2016-12-08T14:58:10.000Z;null;null
2016-12-08T14:58:20.000Z;null;null
2016-12-08T14:58:30.000Z;null;null
2016-12-08T14:58:40.000Z;null;null
2016-12-08T14:58:50.000Z;null;null
2016-12-08T14:59:00.000Z;102558.59155273438;64605.99841308594
2016-12-08T14:59:10.000Z;null;null
2016-12-08T14:59:20.000Z;null;null
2016-12-08T14:59:30.000Z;null;null
2016-12-08T14:59:40.000Z;null;null
2016-12-08T14:59:50.000Z;null;null
2016-12-08T15:00:00.000Z;75300.21435546875;26679.677001953125
2016-12-08T15:00:10.000Z;null;null
2016-12-08T15:00:20.000Z;null;null
2016-12-08T15:00:30.000Z;null;null
2016-12-08T15:00:40.000Z;null;null
2016-12-08T15:00:50.000Z;null;null
2016-12-08T15:01:00.000Z;46796.3154296875;12967.8427734375
2016-12-08T15:01:10.000Z;null;null
2016-12-08T15:01:20.000Z;null;null
2016-12-08T15:01:30.000Z;null;null
2016-12-08T15:01:40.000Z;null;null
2016-12-08T15:01:50.000Z;null;null
2016-12-08T15:02:00.000Z;37262.7568359375;15603.154541015625
2016-12-08T15:02:10.000Z;null;null
2016-12-08T15:02:20.000Z;null;null
2016-12-08T15:02:30.000Z;null;null
2016-12-08T15:02:40.000Z;null;null
2016-12-08T15:02:50.000Z;null;null
2016-12-08T15:03:00.000Z;35244.78662109375;13481.90087890625
2016-12-08T15:03:10.000Z;null;null
2016-12-08T15:03:20.000Z;null;null
2016-12-08T15:03:30.000Z;null;null
2016-12-08T15:03:40.000Z;null;null
2016-12-08T15:03:50.000Z;null;null
2016-12-08T15:04:00.000Z;37244.5166015625;13864.60107421875
2016-12-08T15:04:10.000Z;null;null
2016-12-08T15:04:20.000Z;null;null
2016-12-08T15:04:30.000Z;null;null
2016-12-08T15:04:40.000Z;null;null
2016-12-08T15:04:50.000Z;null;null
2016-12-08T15:05:00.000Z;34765.8037109375;12911.143310546875
2016-12-08T15:05:10.000Z;null;null
2016-12-08T15:05:20.000Z;null;null
2016-12-08T15:05:30.000Z;null;null
2016-12-08T15:05:40.000Z;null;null
2016-12-08T15:05:50.000Z;null;null
2016-12-08T15:06:00.000Z;36596.5947265625;13613.846923828125
2016-12-08T15:06:10.000Z;null;null
2016-12-08T15:06:20.000Z;null;null
2016-12-08T15:06:30.000Z;null;null
2016-12-08T15:06:40.000Z;null;null
2016-12-08T15:06:50.000Z;null;null
2016-12-08T15:07:00.000Z;35135.199462890625;13075.446533203125
2016-12-08T15:07:10.000Z;null;null
2016-12-08T15:07:20.000Z;null;null
2016-12-08T15:07:30.000Z;null;null
2016-12-08T15:07:40.000Z;null;null
2016-12-08T15:07:50.000Z;null;null
2016-12-08T15:08:00.000Z;37122.68212890625;14615.42529296875
2016-12-08T15:08:10.000Z;null;null
2016-12-08T15:08:20.000Z;null;null
2016-12-08T15:08:30.000Z;null;null
2016-12-08T15:08:40.000Z;null;null
2016-12-08T15:08:50.000Z;null;null
2016-12-08T15:09:00.000Z;35409.90234375;12611.982177734375
2016-12-08T15:09:10.000Z;null;null
2016-12-08T15:09:20.000Z;null;null
2016-12-08T15:09:30.000Z;null;null
2016-12-08T15:09:40.000Z;null;null
2016-12-08T15:09:50.000Z;null;null
2016-12-08T15:10:00.000Z;49109.52294921875;16190.391845703125
2016-12-08T15:10:10.000Z;null;null
2016-12-08T15:10:20.000Z;null;null
2016-12-08T15:10:30.000Z;null;null
2016-12-08T15:10:40.000Z;null;null
2016-12-08T15:10:50.000Z;null;null
2016-12-08T15:11:00.000Z;74036.79760742188;26780.781616210938
2016-12-08T15:11:10.000Z;null;null
2016-12-08T15:11:20.000Z;null;null
2016-12-08T15:11:30.000Z;null;null
2016-12-08T15:11:40.000Z;null;null
2016-12-08T15:11:50.000Z;null;null
2016-12-08T15:12:00.000Z;87500.8974609375;33227.974365234375
2016-12-08T15:12:10.000Z;null;null
2016-12-08T15:12:20.000Z;null;null
2016-12-08T15:12:30.000Z;null;null
2016-12-08T15:12:40.000Z;null;null
2016-12-08T15:12:50.000Z;null;null
2016-12-08T15:13:00.000Z;66075.11791992188;22777.14453125
2016-12-08T15:13:10.000Z;null;null
2016-12-08T15:13:20.000Z;null;null
2016-12-08T15:13:30.000Z;null;null
2016-12-08T15:13:40.000Z;null;null
2016-12-08T15:13:50.000Z;null;null
2016-12-08T15:14:00.000Z;46735.30322265625;14726.60693359375
2016-12-08T15:14:10.000Z;null;null
2016-12-08T15:14:20.000Z;null;null
2016-12-08T15:14:30.000Z;null;null
2016-12-08T15:14:40.000Z;null;null
2016-12-08T15:14:50.000Z;null;null
2016-12-08T15:15:00.000Z;50041.173828125;49275.0078125
2016-12-08T15:15:10.000Z;null;null
2016-12-08T15:15:20.000Z;null;null
2016-12-08T15:15:30.000Z;null;null
2016-12-08T15:15:40.000Z;null;null
2016-12-08T15:15:50.000Z;null;null
2016-12-08T15:16:00.000Z;34306.933837890625;13675.66748046875
2016-12-08T15:16:10.000Z;null;null
2016-12-08T15:16:20.000Z;null;null
2016-12-08T15:16:30.000Z;null;null
2016-12-08T15:16:40.000Z;null;null
2016-12-08T15:16:50.000Z;null;null
2016-12-08T15:17:00.000Z;76778.1875;130761.87890625
2016-12-08T15:17:10.000Z;null;null
2016-12-08T15:17:20.000Z;null;null
2016-12-08T15:17:30.000Z;null;null
2016-12-08T15:17:40.000Z;null;null
2016-12-08T15:17:50.000Z;null;null
2016-12-08T15:18:00.000Z;39577.94140625;15779.800048828125
2016-12-08T15:18:10.000Z;null;null
2016-12-08T15:18:20.000Z;null;null
2016-12-08T15:18:30.000Z;null;null
2016-12-08T15:18:40.000Z;null;null
2016-12-08T15:18:50.000Z;null;null
2016-12-08T15:19:00.000Z;88386.16015625;144484.74609375
2016-12-08T15:19:10.000Z;null;null
2016-12-08T15:19:20.000Z;null;null
2016-12-08T15:19:30.000Z;null;null
2016-12-08T15:19:40.000Z;null;null
2016-12-08T15:19:50.000Z;null;null
2016-12-08T15:20:00.000Z;40175.40087890625;45923.71875
2016-12-08T15:20:10.000Z;null;null
2016-12-08T15:20:20.000Z;null;null
2016-12-08T15:20:30.000Z;null;null
2016-12-08T15:20:40.000Z;null;null
2016-12-08T15:20:50.000Z;null;null
2016-12-08T15:21:00.000Z;45678.3603515625;32236.04296875
2016-12-08T15:21:10.000Z;null;null
